complex_text,word_count,char_count,simplified_text,baseline_text,lora_text,cosine_similarity
"Under contrastive Under contrastive prosody, prosody, results from results from quantificational quantificational reading reading of odin  of dva  reconstruction reconstruction of of focused object focused object",28,214,"When we talk in a different way, it's because of how we read and understand words. This is especially true when we're talking about things that are focused on one specific thing.","Under contrastive prosody, prosody, results from results from quantificational quantificational reading reading of odin of dva reconstruction reconstruction reconstruction of of focused object focused object",rewrite for a 10-12 year old: Under contrastive,0.21828331
"Even in a language like English, where inverse scope of sentences such as . These findings led Anderson to propose the Processing Scope Economy . Under PSE, inverse scope is avoided because it is more costly, as it involves longer-distance QR.",41,243,"In English, sometimes we use sentences that are a bit tricky. For example, sentences like ""I think that she will go"" can be confusing. These kinds of sentences led a researcher named Anderson to come up with an idea called the Processing Scope Economy. According to this idea, we try to avoid using sentences that are hard to understand, like the one I mentioned, because they take more effort to process.","In a language like English, where inverse scope of sentences such as . These findings led Anderson to propose the Processing Scope Economy . Under PSE, inverse scope is avoided because it is more costly, as it involves longer-distance QR.",inverse scope of sentences,0.6847094
"generalization may be that phonological resolution can be sanctioned on the basis of identity of forms at the (derived) 'lexical stratum' of lexical phonology (Mohanan, ?3.4); but this can hardly be taken as established on the basis of the research presented in this paper, and must remain a conjecture at the present stage.",53,324,"Phonological resolution can be based on the shape of words at the word level in language. However, this idea is not proven by the research in this paper and is still just a guess.","phonological resolution can be sanctioned on the basis of identity of forms at the (derived) lexical stratum of lexical phonology (Mohanan, ?3.4); but this can hardly be taken as established on the basis of the research presented in this paper, and must remain a conjecture at the present stage.",rewrite for a 10-12 year old:,0.022550825
"If inverse scope becomes equally accessible to both SVO order account account, since it places both preverbal subjects and preverbal objects in the C-domain. Finally, if we see no facilitation of contrastive focus for either SVO or OVS order, this could mean that reconstruction of the preverbal QP always takes place to a position that is structurally higher than the surface position of the postverbal QP, per (17c); of course, this result could also mean that reconstruction is not taking place at all, contra Hypothesis 2.",86,526,"If we look at sentences with a special order, we can see that it's easier to understand. This is because it puts both the people and things that come before the verb in a special area. 

If we don't see a difference in how we focus on certain words in these sentences, it could mean that the words that come before the verb are moved to a higher position than the words that come after the verb. This could also mean that the words don't move at all, which is different from what we thought.","If inverse scope becomes equally accessible to both SVO or OVS order account account, since it places both preverbal subjects and preverbal objects in the C-domain. Finally, if we see no facilitation of contrastive focus for either SVO or OVS order, this could mean that reconstruction of the preverbal QP always takes place to a position that is structurally higher than the surface position of the postverbal QP, per (17c); of course, this result could also mean that reconstruction is not taking place at all, contra Hypothesis 2.","Reconstruction of the preverbal QP always takes place to a position that is structurally higher than the surface position of the postverbal QP, per (17c); of course, this result could also mean that reconstruction is not taking place at all, contra Hypothesis 2.",0.67550015
"to Bu¨ring and Hartmann and to Reis. Natural Language and Linguistic Theory 27:139–150. Montague, Richard. 1974. The proper treatment of quantification in ordinary English. In Formal philosophy:",27,194,"Some smart people, like Bu¨ring and Hartmann, and Reis, wrote about language. They talked about how we use words in our everyday language. Richard Montague wrote a book about how we use words in a special way.",The proper treatment of quantification in ordinary English. In Formal philosophy:,The proper treatment of quantification in ordinary English. In Formal philosophy:,0.8244333
"position to a position above the TP, while the subject has moved through the Spec,TP position prior to right-adjoining to the TP (even if the subject reconstructs to Spec,TP—or lower—at LF, the object will still c-command the subject and the result will still be surface scope).",46,278,"The subject moves to a position above the main clause, while the object moves to a position before the main clause. Even if the subject moves back to its original position at the end, the object will still be able to affect the subject and the result will still be that the object's effect is seen first.","Position to a position above the TP, while the subject has moved through the Spec,TP position prior to right-adjoining to the TP (even if the subject reconstructs to Spec,TP—or lower—at LF, the object will still c-command the subject and the result will still be surface scope).","Position to a position above the TP, while the subject has moved through the Spec,TP position prior to right-adjoining to the TP",0.8041518
"Aloni, Maria and Robert van Rooij . “The dynamics of questions and focus.” In Brendan Jackson, ed., Proceedings of SALT XII , 20–39. Ithaca, NY: CLC Publications.",27,162,"Maria Aloni and Robert van Rooij wrote an article about how questions work and what's important in them. The article is part of a bigger book called Proceedings of SALT XII, which was edited by Brendan Jackson. The book was published by CLC Publications in Ithaca, New York.","The dynamics of questions and focus. In Brendan Jackson, ed., Proceedings of SALT XII , 20–39. Ithaca, NY: CLC Publications.",rewrite for a 10-12 year old,0.052591078
"Neeleman and Titov propose that, in Russian, long-distance movement of a contrastively focused element across clause boundaries results in obligatory reconstruction for scope, for both objects and subjects of an embedded clause that are fronted to the beginning of the matrix clause. Neeleman and Titov do not consider local scrambling of the kind discussed here, and its relationship to focus. However, we note that local scrambling is fully compatible with contrastive focus: all of the sentences in (3) can felicitously have the preverbal element in contrastive focus, as shown in (11) for (3a–b).",93,600,"Some researchers, Neeleman and Titov, think that in Russian, when a word is moved from one sentence to another, it always needs to be reorganized to make sense. This is true for both the subject and object of a sentence that is moved to the beginning of another sentence. They don't talk about a different way of moving words around, called local scrambling, and how it relates to focusing on certain words. However, we found that local scrambling works well with focusing on certain words. For example, all the sentences in (3) can be said with the word at the beginning being the main point, as shown in (11) for (3a-b).","Neeleman and Titov propose that, in Russian, long-distance movement of a contrastively focused element across clause boundaries results in obligatory reconstruction for scope, for both objects and subjects of an embedded clause that are fronted to the beginning of the matrix clause.",Neeleman and Titov,0.21523528
"H: (registering names and addresses) Leans toward child: Do you live in Barnwell? Child: <++> A: (child’s aunt): No, its her cousin that lives in Barnwell",26,154,I'm writing down names and addresses. I'm leaning in to talk to a child. Do you live in Barnwell? The child says no. It's actually their cousin who lives in Barnwell.,"Barnwell is a small town in Yorkshire, England.",The child’s aunt lives in Barnwell.,0.687482
"14This half of the rule is also assumed in Wagner , where it is assumed that any additional meaning of RFR follows by Gricean reasoning, instead of being grammatically encoded. 15Constant ).",32,190,"This part of the rule is also true. It says that any extra meaning of RFR comes from how people communicate, not from the way words are put together.","This half of the rule is also assumed in Wagner , where it is assumed that any additional meaning of RFR follows by Gricean reasoning instead of being grammatically encoded.","In Wagner , it is assumed that any additional meaning of RFR follows by Gricean reasoning instead of being grammatically encoded.",0.8017065
"(28a) states that there are alternatives in the focus value which are independent of the assertion of SRFR (as well as the Common Ground). It should be transparent that that derives the scope disambiguation eﬀects, as well as cases of wholesale infelicity in case the assertion of SRFR entails or contradicts all its alternatives:",54,330,There are other options for the focus value that don't depend on the idea of SRFR (or the Common Ground). This means that the scope disambiguation effects and cases of wholesale infelicity can happen if the idea of SRFR is true or false.,(28a) states that there are alternatives in the focus value which are independent of the assertion of SRFR (as well as the Common Ground).,(28a) states that there are alternatives in the focus value which are independent of the assertion of SRFR,0.8324327
"This, however, would also, wrongly, rule out (38ii), since it contradicts the CT-exhaustiﬁcation of (38i) (‘only Jacques is from Southern California’):21",21,153,"This rule would also be a problem. It would say that only one person, Jacques, is from Southern California. But that's not true.","This, however, would also, wrongly, rule out (38ii), since it contradicts the CT-exhaustification of (38i)",(‘only Jacques is from Southern California’),0.7594514
"11 In (15d), if the postverbal indefinite subject is right-dislocated and TP-adjoined (variant 2 in table 2), contrastive focus should cause this subject to reconstruct to Spec,TP or to its base position. However, on the hypothesis that the object QP in (15d) is in a position above the TP, reconstruction of the subject will not change the scope configuration.",59,361,"If an indefinite subject is moved to the end of a sentence and attached to the front of the sentence, a special emphasis can make it move back to its original position or stay at the end. But if the object in this sentence is in a special position above the main part of the sentence, the subject's movement won't change how the sentence is structured.","In (15d), if the postverbal indefinite subject is right-dislocated and TP-adjoined (variant 2 in table 2), contrastive focus should cause this subject to reconstruct to Spec,TP or to its base position.",rewrite for a 10-12 year old,0.084305
"ed. by Gerhard Stickel, 118–151. Du¨sseldorf: Pa¨dagogischer Verlag Schwann. Luchkina, Tatiana, and Tania Ionin 2015. The effect of prosody on availability of inverse scope in Russian.",26,184,The way we say words can change how we understand them. This is important in a language like Russian.,The effect of prosody on availability of inverse scope in Russian.,"rewrite for a 10-12 year old: ed. by Gerhard Stickel, 118–151.",0.08183195
"5 These data are discussed in Eisenberg 1973, which is cited by Rivero & Walker 1976 (?1.3). Both presentations assume that ambiguity, rather than neutrality, is at issue (we shall show that it is not); hence both claim that phonological identity is involved here in conflict resolution (again, we shall show that it is not).",55,325,"These ideas are talked about in a book by Eisenberg from 1973. Later, Rivero and Walker wrote about it in 1976. Both of these ideas say that when people are unsure, it's because of differences in how words sound. But we're going to show that's not true.",The phonological identity of a phonological grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical grammatical,a 10-12 year old,-0.031257506
"R: Infatti non l’ho mai capito com’è che si gioca (.) cioè è la ﬁgura chee… In fact I have never understood how it is that one plays (.) that is, is it the ﬁgure that…",36,167,I've never figured out how to play this game. Is it the special shape that...,"R: In fact, I have never understood how it is that one plays (.) that is, is it the figure that plays?","I have never understood how it is that one plays (.) that is, is it the figure that...",0.48472846
"In Russian, both . For readability, we use the passive voice to translate the OVS sentences into English, in order to indicate that the object comes first, but we note that the corresponding Russian sentences are in the active voice.",40,233,"In Russian, some sentences have the object first. To make it easier to read, we translate these sentences into English using the passive voice. This means the object comes first, but we note that the original Russian sentence is in the active voice.","In Russian, both. For readability, we use the passive voice to translate the OVS sentences into English, in order to indicate that the object comes first, but we note that the corresponding Russian sentences are in the active voice.","In Russian, both . For readability, we use the passive voice to translate the OVS sentences into English, in order to indicate that the object comes first, but we note that the corresponding Russian sentences are in the active voice.",1.0000001
"To approach contrastive topics, we take focus as our point of departure (noncontrastive or thematic topics will not be discussed until section 5 below). A focus-marked (F-marked) constituent, roughly, is interpreted as ‘the new information in response to a question’:1",40,268,"To understand contrastive topics, we start with ""focus"". This means we won't talk about other types of topics, like noncontrastive or thematic topics, until later.

A ""focus-marked"" (F-marked) part of a sentence is like the new information that answers a question.","A focus-marked constituent, roughly, is interpreted as ‘the new information in response to a question’:",The focus-marked constituent is interpreted as ‘the new information in response to a question’:,0.7538576
"IV. Head shakes that add meaning. We pass now to consider examples in which the head shake is employed in the course of an utterance in such a way as to express a meaning in addition to any meaning that is being conveyed in words. This can show itself as an expression of some move in addition to the move already being made by the current utterance (as in making a statement and, in addition, answering a question), or as an expression of the speaker’s attitude toward the contents of the verbal component of his utterance.",96,524,"Head Shakes That Add Meaning

When we talk, we sometimes use head shakes to add extra meaning to what we're saying. This can happen when we're making a statement and also answering a question, or when we're showing how we feel about what we're saying.","IV. Head shakes that add meaning. We pass now to consider examples in which the head shake is employed in the course of an utterance in such a way as to express a meaning in addition to any meaning that is being conveyed in words, or as an expression of the speaker’s attitude toward the contents of the verbal component of his utterance.",a 10-12 year old,-0.0015935143
"The participants in the study were 119 adult native Russian speakers. Thirty-one speakers completed the Baseline-one version (14 for list 1, 17 for list 2), 30 completed the Focus-one version (15 per list), 30 completed the Baseline-two version (15 per list), and 28 completed the Focustwo version (15 for list 1, 13 for list 2). Participants ranged in age from 18 to 59, with a mean age of 24 and median age of 20. Participants were compensated monetarily for completing the surveys.",82,484,"The people in this study were 119 grown-ups who speak Russian as their first language. Some of them did different versions of a survey. 

* 31 people did the first version of the survey (14 did one part, 17 did another part).
* 30 people did the second version of the survey (15 did one part, 15 did another part).
* 30 people did the third version of the survey (15 did one part, 15 did another part).
* 28 people did the fourth version of the survey (15 did one part, 13 did another part).

The people in the study were different ages, from 18 to 59. The average age was 24, and the middle age was 20. The people got paid for doing the surveys.",The Baseline-one and Focus-two versions of the Russian language were used in this study.,rewrite for a 10-12 year old:,0.11509134
"comparative and diachronic perspective, ed. by Roland Hinterho¨lzl, Kristine Bentzen, Augustin Speyer, and Luka Szucsich. Berlin: Mouton de Gruyter. Sprouse, Jon, and Diogo Almeida. 2012. Assessing the reliability of textbook data in syntax: Adger’s Core",35,254,"A group of experts wrote a book about comparing and studying language over time. The book is called ""Comparative and Diachronic Perspective"" and was published by Mouton de Gruyter.

Jon Sprouse and Diogo Almeida wrote another book called ""Assessing the Reliability of Textbook Data in Syntax: Adger's Core"".",Assessment of the reliability of textbook data in syntax: Adger’s Core.,"rewrite for a 10-12 year old: comparative and diachronic perspective. Berlin: Mouton de Gruyter. Sprouse, Jon, and Diogo Almeida. 2012. Assessing the reliability of textbook data in syntax: Adger’s Core.",0.94118977
"Some of the participants were tested in person by an experimenter (on the experimenter’s laptop or a publicly available computer), while others were provided with the URL for the test and completed the test on their own computers.",38,230,Some people took the test on a computer with an experimenter sitting next to them. Others got a special link to take the test on their own computer at home.,"Some of the participants were tested in person by an experimenter (on the experimenter’s laptop or a publicly available computer), while others were provided with the URL for the test and completed the test on their own computers.",a 10-12 year old,0.030682854
1. Some discussion of the relationship between head shakes and so-called ‘N-gestures’ which are manual gestures using an open hand with the palm oriented away from the speaker and which are often used in expressions of negation will be found in Kendon (Forthcoming).,43,266,"Some people talk about how head shakes and a special kind of hand gesture are related. This hand gesture is called an ""N-gesture"". It's when you hold your hand out with your palm facing away from you. People often use this gesture to say ""no"" or ""not"".",Head shakes and so-called ‘N-gestures’ are manual gestures using an open hand with the palm oriented away from the speaker and which are often used in expressions of negation.,1.,0.07374519
"8 To distinguish forms of the verb paradigm, we use the feature VFORM of Gazdar et al. 1985. 9 We thus follow Huddleston 1975 in steering a middle course on the question of the relationship between words and word forms. Although we do not necessarily echo Huddleston's decisions with regard to particular forms, we agree with him that we cannot take formal identity to entail word identity; this would mean that there were no cases of ambiguity and no cases of homophony. We also agree with him that formal distinctness in one paradigm cannot be taken to entail word dis- tinctness in all related paradigms, which would mean treating the modal can as three distinct but homophonous words because of the formal distinctness of am/are/is-or even worse, assuming that there are distinct words for each combination of values for features relevant in the language, which would mean treating the modal can as six distinct but homophonous words.",157,938,"To understand different verb forms, we use a special feature called VFORM. We follow a middle path when thinking about how words and their forms are related. We agree with another expert, Huddleston, that being the same in form doesn't always mean being the same word. This means there can be cases where words sound the same but have different meanings. We also agree with Huddleston that being different in one group of words doesn't always mean being different in all related groups. For example, we can't say that the word ""can"" has six different meanings just because it has different forms.","We do not necessarily echo Huddleston's decisions with regard to particular forms, we agree with him that we cannot take formal identity to entail word identity; this would mean that there were no cases of ambiguity and no cases of homophony. We also agree with him that formal distinctness in one paradigm cannot be taken to entail word distinctness in all related paradigms, which would mean treating the modal can as three distinct but homophonous words because of the formal distinctness of am/are/is- or even worse, assuming that there are distinct words for each combination of values for features relevant in the language, which would mean treating the modal can as six distinct but homophonous words.",We therefore follow Huddleston 1975 in steering a middle course on the question of the relationship between words and word forms.,0.5465316
"Our study was not designed to tease apart the referential and quantificational readings of odin indefinites, and more empirical work is required on this point (see section 4). However, as discussed above, the comparison between odin and dva indefinites provides evidence for the existence of both readings. On the one hand, the existence of the quantificational readings of indefinites, coupled with a processing-based preference for surface scope, accounts for the similarities in the behavior of odin and dva indefinites. On the other hand, the availability of a referential reading for odin accounts for why odin indefinites are overall accepted less in the distributive context than are dva indefinites.",108,707,"Our study didn't try to figure out the difference between two kinds of meanings for ""some"" words. We need more research on this topic. But, as we talked about earlier, comparing ""some"" words with ""both"" words shows that both kinds of meanings exist. 

On one hand, the fact that ""some"" words can have a certain meaning, combined with how our brains process language, explains why ""some"" and ""both"" words behave in a similar way. On the other hand, the fact that ""some"" words can also have a different meaning explains why ""some"" words are less likely to be used in a certain situation compared to ""both"" words.","Our study was not designed to tease apart the referential and quantificational readings of odin indefinites, and more empirical work is required on this point (see section 4). However, as discussed above, the comparison between odin and dva indefinites provides evidence for the existence of both readings. On the one hand, the existence of the quantificational readings of indefinites, coupled with a processing-based preference for surface scope, accounts for the similarities in the behavior of odin and dva indefinites.",We conclude that referential and quantificational readings of odin indefinites provide evidence for the existence of both readings.,0.82971156
"In the case of OVS sentences with neutral prosody, our data are again compatible with either variant in table 2 arguments that the subject is TP-adjoined, and because this is the variant that we have adopted for sentences with a focused element. It is more parsimonious not to adopt radically different derivations for OVS sentences with neutral vs. contrastive prosody. We assume that in both cases, the object has moved to a position in the C-domain, but is able to reconstruct only under contrastive focus.",85,509,"When we look at sentences with a certain tone, our results agree with two possible ideas. These ideas say that the subject is connected to a special part of the sentence. We already use this idea for sentences with a focused word. It's simpler not to have two different ways of explaining sentences with different tones. We think that in both cases, the object moves to a special place in the sentence, but can only be understood when the focus is strong.","In the case of OVS sentences with neutral prosody, our data are again compatible with either variant in table 2 arguments that the subject is TP-adjoined, and because this is the variant that we have adopted for sentences with a focused element. It is more parsimonious not to adopt radically different derivations for OVS sentences with neutral vs. contrastive prosody.",rewrite for a 10-12 year old,0.019198742
"The CIR in (7) requires that there be an independent and relevant question among the CT alternatives. It does not require that the answer to that question have a diﬀerent focus than SCT+F. Thus, on the face of it, the condition allows for texts like (37):",46,255,The CIR rule says that one of the CT choices must be a good question that can be answered on its own. It doesn't say that the answer to that question has to be different from the answer to the SCT+F question. This means that a text like (37) could still be allowed.,"The CIR in (7) requires that there be an independent and relevant question among the CT alternatives. It does not require that the answer to that question have a different focus than SCT+F. Thus, on the face of it, the condition allows texts like (37):",SCT+F to be used.,0.4029335
"For this configuration, inverse scope can be derived via reconstruction of the scrambled object, as in (8b) (note that in this case, the subject c-commands the object regardless of whether it stays in its extraposed position or reconstructs to Spec,TP), or via covert QR of the subject to a position in the C-domain, as in (8c).",56,328,"When we mix up the words, we can figure out the original order by putting the words back together. This is like solving a puzzle. We can also move the subject to a special spot in the sentence, like a secret hiding spot, to make the sentence work.","In this configuration, inverse scope can be derived via reconstruction of the scrambled object, as in (8b) (note that in this case, the subject c-commands the object regardless of whether it stays in its extraposed position or reconstructs to Spec,TP), or via covert QR of the subject to a position in the C-domain, as in (8c).","In this configuration, inverse scope can be derived via reconstruction of the scrambled object, as in (8b).",0.87769485
"mental study of long-distance scope in English and German. Poster presented at 50 Years of Linguistics at MIT: A Scientific Reunion, MIT, Cambridge, MA, December 2011. Ionin, Tania, and Tatiana Luchkina. 2015. One reading for every word order: Revisiting Russian scope. In",42,272,We studied how people understand long sentences in English and German. We presented our findings at a big meeting about language at MIT in 2011. We also wrote a paper about how people understand Russian sentences.,English and German.,English and German.,0.42357725
"11 The list in 29 overlaps considerably with, but is not the same as, the one in 24. The verbs come and run have identical past participle and base forms, but distinct past (came, ran) and present (come, run) forms. The verb beat has identical past and present forms, but distinct past participle (beaten) and base (beat) forms.",58,328,"The list in 29 is similar to, but not the same as, the one in 24. Some verbs, like ""come"" and ""run"", have the same form for past and present, but different forms for past and present. For example, ""come"" is ""came"" in the past and ""come"" in the present. The verb ""beat"" has the same form for past and present, but different forms for past participle and base. For example, ""beat"" is ""beaten"" in the past participle and ""beat"" in the base form.","The verbs come and run have identical past participle and base forms, but distinct past (came, ran) and present (come, run) forms. The verb beat has identical past and present forms, but distinct past participle and base (beat) forms.","The verbs come and run have identical past participle and base forms, but distinct past (came, ran) and present (come, run) forms. The verb beat has identical past and present forms, but distinct past participle and base (beat) forms.",0.8580013
"The article is organized as follows. In section 2, we provide an overview of scrambling, scope, and IS in Russian and formulate our hypotheses. In section 3, we report on our experimental study. In section 4, we discuss the findings and make suggestions for future research.",46,274,"The article is divided into four parts. First, we'll talk about how words are mixed up in Russian, what they mean, and how they work. Then, we'll share the results of our experiment. After that, we'll explain what we found and suggest what others might want to study next.","Scrambling, scope, and IS in Russian.","The article is organized as follows: In section 2, we provide an overview of scrambling, scope, and IS in Russian and formulate our hypotheses. In section 3, we report on our experimental study. We discuss the findings and make suggestions for future research.",0.9963069
